player_name,pitch_name,pitch_type_perc,colors,pq
1  -  Miles Mikolas,Slider,24,#CCEBC5,0.72
1  -  Miles Mikolas,Curveball,20,#B3CDE3,0.68
1  -  Miles Mikolas,Changeup,6,#FED9A6,0.6
1  -  Miles Mikolas,Sinker,25,#DECBE4,0.68
1  -  Miles Mikolas,Fastball,25,#FBB4AE,0.68
10  -  Pablo Lopez,Sweeper,21,#E5D8BD,0.65
10  -  Pablo Lopez,Curveball,13,#B3CDE3,0.68
10  -  Pablo Lopez,Changeup,21,#FED9A6,0.68
10  -  Pablo Lopez,Sinker,10,#DECBE4,0.68
10  -  Pablo Lopez,Fastball,35,#FBB4AE,0.68
100  -  Michael Kopech,Slider,27,#CCEBC5,0.62
100  -  Michael Kopech,Curveball,4,#B3CDE3,0.6
100  -  Michael Kopech,Changeup,7.000000000000001,#FED9A6,0.5
100  -  Michael Kopech,Fastball,62,#FBB4AE,0.61
11  -  Zack Greinke,Slider,20,#CCEBC5,0.66
11  -  Zack Greinke,Curveball,14.000000000000002,#B3CDE3,0.7
11  -  Zack Greinke,Changeup,17,#FED9A6,0.65
11  -  Zack Greinke,Cutter,7.000000000000001,#FDDAEC,0.68
11  -  Zack Greinke,Sinker,15,#DECBE4,0.68
11  -  Zack Greinke,Fastball,27,#FBB4AE,0.67
12  -  Ranger Suarez,Curveball,19,#B3CDE3,0.69
12  -  Ranger Suarez,Changeup,18,#FED9A6,0.61
12  -  Ranger Suarez,Cutter,12,#FDDAEC,0.68
12  -  Ranger Suarez,Sinker,27,#DECBE4,0.7
12  -  Ranger Suarez,Fastball,22,#FBB4AE,0.68
13  -  Bailey Ober,Slider,20,#CCEBC5,0.64
13  -  Bailey Ober,Curveball,7.000000000000001,#B3CDE3,0.7
13  -  Bailey Ober,Changeup,27,#FED9A6,0.63
13  -  Bailey Ober,Fastball,46,#FBB4AE,0.69
14  -  Zac Gallen,Slider,4,#CCEBC5,0.73
14  -  Zac Gallen,Curveball,23,#B3CDE3,0.69
14  -  Zac Gallen,Changeup,14.000000000000002,#FED9A6,0.66
14  -  Zac Gallen,Cutter,10,#FDDAEC,0.63
14  -  Zac Gallen,Fastball,49,#FBB4AE,0.66
15  -  Jose Berrios,Curveball,30,#B3CDE3,0.68
15  -  Jose Berrios,Changeup,18,#FED9A6,0.63
15  -  Jose Berrios,Sinker,31,#DECBE4,0.68
15  -  Jose Berrios,Fastball,21,#FBB4AE,0.67
16  -  Seth Lugo,Sweeper,4,#E5D8BD,0.62
16  -  Seth Lugo,Slider,9,#CCEBC5,0.64
