player_name,pitch_name,colors,p
1  -  Miles Mikolas,Slider,#CCEBC5,24
1  -  Miles Mikolas,Curveball,#B3CDE3,20
1  -  Miles Mikolas,Changeup,#FED9A6,6
1  -  Miles Mikolas,Sinker,#DECBE4,25
1  -  Miles Mikolas,Fastball,#FBB4AE,25
10  -  Zack Greinke,Slider,#CCEBC5,20
10  -  Zack Greinke,Curveball,#B3CDE3,14.000000000000002
10  -  Zack Greinke,Changeup,#FED9A6,17
10  -  Zack Greinke,Cutter,#E5D8BD,7.000000000000001
10  -  Zack Greinke,Sinker,#DECBE4,15
10  -  Zack Greinke,Fastball,#FBB4AE,27
100  -  Michael Kopech,Slider,#CCEBC5,27
100  -  Michael Kopech,Curveball,#B3CDE3,4
100  -  Michael Kopech,Changeup,#FED9A6,7.000000000000001
100  -  Michael Kopech,Fastball,#FBB4AE,62
11  -  Pablo Lopez,Sweeper,#FFFFCC,21
11  -  Pablo Lopez,Curveball,#B3CDE3,13
11  -  Pablo Lopez,Changeup,#FED9A6,21
11  -  Pablo Lopez,Sinker,#DECBE4,10
11  -  Pablo Lopez,Fastball,#FBB4AE,35
12  -  Ranger Suarez,Curveball,#B3CDE3,19
12  -  Ranger Suarez,Changeup,#FED9A6,18
12  -  Ranger Suarez,Cutter,#E5D8BD,12
12  -  Ranger Suarez,Sinker,#DECBE4,27
12  -  Ranger Suarez,Fastball,#FBB4AE,22
13  -  Jose Berrios,Curveball,#B3CDE3,30
13  -  Jose Berrios,Changeup,#FED9A6,18
13  -  Jose Berrios,Sinker,#DECBE4,31
13  -  Jose Berrios,Fastball,#FBB4AE,21
14  -  Zac Gallen,Slider,#CCEBC5,4
14  -  Zac Gallen,Curveball,#B3CDE3,23
14  -  Zac Gallen,Changeup,#FED9A6,14.000000000000002
14  -  Zac Gallen,Cutter,#E5D8BD,10
14  -  Zac Gallen,Fastball,#FBB4AE,49
15  -  Bailey Ober,Slider,#CCEBC5,20
15  -  Bailey Ober,Curveball,#B3CDE3,7.000000000000001
15  -  Bailey Ober,Changeup,#FED9A6,27
15  -  Bailey Ober,Fastball,#FBB4AE,46
16  -  Patrick Corbin,Slider,#CCEBC5,35
16  -  Patrick Corbin,Changeup,#FED9A6,7.000000000000001
16  -  Patrick Corbin,Sinker,#DECBE4,42
16  -  Patrick Corbin,Fastball,#FBB4AE,17
17  -  Clarke Schmidt,Sweeper,#FFFFCC,27
17  -  Clarke Schmidt,Curveball,#B3CDE3,19
17  -  Clarke Schmidt,Cutter,#E5D8BD,28.000000000000004
17  -  Clarke Schmidt,Sinker,#DECBE4,24
18  -  Seth Lugo,Sweeper,#FFFFCC,4
18  -  Seth Lugo,Slider,#CCEBC5,9
18  -  Seth Lugo,Curveball,#B3CDE3,30
18  -  Seth Lugo,Changeup,#FED9A6,6
18  -  Seth Lugo,Sinker,#DECBE4,20
18  -  Seth Lugo,Fastball,#FBB4AE,32
19  -  Merrill Kelly,Slider,#CCEBC5,6
19  -  Merrill Kelly,Curveball,#B3CDE3,12
19  -  Merrill Kelly,Changeup,#FED9A6,23
19  -  Merrill Kelly,Cutter,#E5D8BD,18
19  -  Merrill Kelly,Sinker,#DECBE4,12
19  -  Merrill Kelly,Fastball,#FBB4AE,28.999999999999996
2  -  Zack Wheeler,Sweeper,#FFFFCC,12
2  -  Zack Wheeler,Slider,#CCEBC5,15
2  -  Zack Wheeler,Curveball,#B3CDE3,11
2  -  Zack Wheeler,Sinker,#DECBE4,19
2  -  Zack Wheeler,Fastball,#FBB4AE,43
20  -  Kyle Freeland,Slider,#CCEBC5,24
20  -  Kyle Freeland,Curveball,#B3CDE3,17
20  -  Kyle Freeland,Changeup,#FED9A6,12
20  -  Kyle Freeland,Sinker,#DECBE4,28.000000000000004
20  -  Kyle Freeland,Fastball,#FBB4AE,18
21  -  Justin Verlander,Slider,#CCEBC5,26
21  -  Justin Verlander,Curveball,#B3CDE3,20
21  -  Justin Verlander,Changeup,#FED9A6,4
21  -  Justin Verlander,Fastball,#FBB4AE,50
22  -  Jordan Lyles,Sweeper,#FFFFCC,25
22  -  Jordan Lyles,Curveball,#B3CDE3,13
22  -  Jordan Lyles,Changeup,#FED9A6,11
22  -  Jordan Lyles,Cutter,#E5D8BD,8
22  -  Jordan Lyles,Sinker,#DECBE4,12
22  -  Jordan Lyles,Fastball,#FBB4AE,31
23  -  Gerrit Cole,Slider,#CCEBC5,21
23  -  Gerrit Cole,Curveball,#B3CDE3,12
23  -  Gerrit Cole,Changeup,#FED9A6,7.000000000000001
23  -  Gerrit Cole,Cutter,#E5D8BD,7.000000000000001
23  -  Gerrit Cole,Fastball,#FBB4AE,53
24  -  Drew Smyly,Curveball,#B3CDE3,50
24  -  Drew Smyly,Cutter,#E5D8BD,12
24  -  Drew Smyly,Sinker,#DECBE4,39
25  -  Kyle Bradish,Slider,#CCEBC5,31
25  -  Kyle Bradish,Curveball,#B3CDE3,17
25  -  Kyle Bradish,Changeup,#FED9A6,8
25  -  Kyle Bradish,Sinker,#DECBE4,21
25  -  Kyle Bradish,Fastball,#FBB4AE,22
26  -  Hunter Greene,Slider,#CCEBC5,40
26  -  Hunter Greene,Changeup,#FED9A6,5
26  -  Hunter Greene,Fastball,#FBB4AE,54
27  -  Sandy Alcantara,Slider,#CCEBC5,22
27  -  Sandy Alcantara,Changeup,#FED9A6,27
27  -  Sandy Alcantara,Sinker,#DECBE4,28.999999999999996
27  -  Sandy Alcantara,Fastball,#FBB4AE,21
28  -  Martin Perez,Curveball,#B3CDE3,3
28  -  Martin Perez,Changeup,#FED9A6,27
28  -  Martin Perez,Cutter,#E5D8BD,23
28  -  Martin Perez,Sinker,#DECBE4,43
28  -  Martin Perez,Fastball,#FBB4AE,4
29  -  Hunter Brown,Slider,#CCEBC5,24
29  -  Hunter Brown,Curveball,#B3CDE3,24
29  -  Hunter Brown,Splitter,#FDDAEC,5
29  -  Hunter Brown,Fastball,#FBB4AE,46
3  -  Trevor Williams,Sweeper,#FFFFCC,3
3  -  Trevor Williams,Slider,#CCEBC5,15
3  -  Trevor Williams,Curveball,#B3CDE3,7.000000000000001
3  -  Trevor Williams,Changeup,#FED9A6,16
3  -  Trevor Williams,Sinker,#DECBE4,15
3  -  Trevor Williams,Fastball,#FBB4AE,44
30  -  Max Scherzer,Slider,#CCEBC5,17
30  -  Max Scherzer,Curveball,#B3CDE3,12
30  -  Max Scherzer,Changeup,#FED9A6,14.000000000000002
30  -  Max Scherzer,Cutter,#E5D8BD,11
30  -  Max Scherzer,Fastball,#FBB4AE,46
31  -  Eduardo Rodriguez,Slider,#CCEBC5,7.000000000000001
31  -  Eduardo Rodriguez,Changeup,#FED9A6,19
31  -  Eduardo Rodriguez,Cutter,#E5D8BD,20
31  -  Eduardo Rodriguez,Sinker,#DECBE4,9
31  -  Eduardo Rodriguez,Fastball,#FBB4AE,44
32  -  Colin Rea,Sweeper,#FFFFCC,11
32  -  Colin Rea,Curveball,#B3CDE3,8
32  -  Colin Rea,Splitter,#FDDAEC,6
32  -  Colin Rea,Cutter,#E5D8BD,26
32  -  Colin Rea,Sinker,#DECBE4,30
32  -  Colin Rea,Fastball,#FBB4AE,19
33  -  Luke Weaver,Sweeper,#FFFFCC,4
33  -  Luke Weaver,Slider,#CCEBC5,12
33  -  Luke Weaver,Curveball,#B3CDE3,11
33  -  Luke Weaver,Changeup,#FED9A6,21
33  -  Luke Weaver,Cutter,#E5D8BD,10
33  -  Luke Weaver,Fastball,#FBB4AE,43
34  -  Alex Cobb,Slider,#CCEBC5,5
